TM;GR;RFV;GR;H1RFV;GR;H2RFV;GR;CONICITY;GR;H1LFV;GR;PLY;GR;LFV;GR;RRO;GR;CAPSPLICE;GR;H1RRO;GR
01;B;75;A;45;A;22;A;6.7;A;4.5;A;50.4;A;8.4;A;1.12;B;0.33;A;0.68;A
01;A;46;A;14;A;23;A;4.5;A;4.3;A;56;A;13;A;0.77;A;0.17;A;0.17;A
01;A;35;A;19;A;6;A;6.4;A;13.7;A;52.8;A;16.7;A;0.6;A;0.26;A;0.19;A
01;A;34;A;12;A;2;A;8;A;4.8;A;49.5;A;11.5;A;0.5;A;0.33;A;0.2;A
01;B;42;A;33;A;13;A;11.8;B;4.6;A;51.6;A;8;A;0.56;A;0.15;A;0.41;A
01;A;39;A;16;A;22;A;9.4;A;5.1;A;52.3;A;9.3;A;0.51;A;0.28;A;0.15;A
01;C;55;A;27;A;35;B;12.1;C;9;A;51.3;A;14.7;A;0.79;A;0.2;A;0.4;A
01;B;62;A;46;A;15;A;10.6;B;7.6;A;53.8;A;11.9;A;0.82;A;0.15;A;0.4;A
01;A;51;A;21;A;19;A;7.2;A;6.3;A;50.4;A;9.8;A;0.84;A;0.42;A;0.31;A
01;A;51;A;23;A;24;A;8.5;A;7.7;A;52.3;A;9.2;A;0.7;A;0.31;A;0.15;A
01;A;36;A;14;A;20;A;7.7;A;4.8;A;49.9;A;9.2;A;0.67;A;0.26;A;0.37;A
01;A;37;A;29;A;7;A;8.2;A;15.8;A;51.5;A;18.4;A;0.74;A;0.22;A;0.5;A
01;A;40;A;22;A;8;A;6.8;A;9.9;A;54.3;A;14.8;A;0.51;A;0.25;A;0.16;A
01;B;44;A;13;A;33;B;6.8;A;9.5;A;48.9;A;11.9;A;0.65;A;0.24;A;0.21;A
01;B;53;A;34;A;16;A;10.8;B;3.8;A;50.8;A;9;A;0.69;A;0.28;A;0.47;A
01;B;60;A;30;A;30;B;6.9;A;11.3;A;50.8;A;15.6;A;0.91;A;0.17;A;0.39;A
01;A;60;A;33;A;23;A;7.5;A;4;A;55.5;A;13.2;A;0.62;A;0.2;A;0.23;A
01;B;64;A;29;A;29;B;6.8;A;9.1;A;53.6;A;10.9;A;0.99;A;0.46;A;0.23;A
01;B;83;B;46;A;19;A;8.5;A;10.3;A;49.3;A;14.9;A;1.05;B;0.39;A;0.39;A
01;B;58;A;23;A;23;A;7.8;A;9;A;53.8;A;14.7;A;1.13;B;0.64;A;0.41;A
01;A;55;A;38;A;7;A;9.7;A;9.9;A;49.8;A;15.1;A;0.8;A;0.26;A;0.4;A
01;B;86;B;51;B;22;A;9.3;A;11.5;A;51.7;A;12.8;A;1.11;B;0.5;A;0.61;A
01;B;46;A;10;A;27;B;7.2;A;12.3;A;42.4;A;14.1;A;1.05;B;0.27;A;0.53;A
01;B;68;A;48;A;17;A;9.6;A;5.4;A;43.8;A;7.9;A;1.07;B;0.44;A;0.61;A
01;A;65;A;31;A;19;A;6.3;A;5.3;A;55;A;12.4;A;0.79;A;0.23;A;0.49;A
01;A;46;A;34;A;7;A;9.8;A;9;A;51.7;A;14.9;A;0.78;A;0.18;A;0.42;A
01;A;49;A;16;A;22;A;8.2;A;6.5;A;53.6;A;9.2;A;0.59;A;0.29;A;0.12;A
01;A;62;A;38;A;3;A;9.9;A;7.8;A;48.9;A;11.1;A;0.67;A;0.33;A;0.36;A
01;B;69;A;55;B;20;A;10.7;B;7.6;A;50;A;9.7;A;1.01;B;0.22;A;0.7;A
01;B;50;A;23;A;14;A;11.6;B;4.1;A;47.5;A;7.7;A;0.46;A;0.2;A;0.28;A
01;B;41;A;23;A;16;A;11.2;B;4.7;A;49.3;A;7.9;A;0.46;A;0.28;A;0.23;A
01;B;65;A;55;B;8;A;10.3;B;8.6;A;48.4;A;13.1;A;0.92;A;0.23;A;0.67;A
01;B;40;A;27;A;8;A;10.9;B;8.7;A;50.6;A;14;A;0.68;A;0.23;A;0.44;A
01;A;57;A;30;A;23;A;6.4;A;4.7;A;53.6;A;10.9;A;0.72;A;0.26;A;0.33;A
01;B;78;B;54;B;21;A;6.8;A;8.9;A;53;A;10.6;A;1.2;B;0.4;A;0.74;A
01;A;50;A;20;A;18;A;7.1;A;10;A;49.5;A;16.6;A;0.62;A;0.32;A;0.22;A
01;A;49;A;18;A;19;A;4.7;A;8.8;A;56.8;A;15.1;A;0.65;A;0.25;A;0.2;A
01;B;73;A;48;A;28;B;7.8;A;2.2;A;50.2;A;7.7;A;1;A;0.25;A;0.66;A
01;C;117;C;81;C;34;B;9.8;A;7.6;A;51.9;A;13.2;A;1.49;C;0.23;A;0.98;A
01;B;38;A;28;A;10;A;10.5;B;11.1;A;50.8;A;16;A;0.76;A;0.17;A;0.54;A
01;C;80;B;24;A;42;C;12.4;C;8.7;A;48.5;A;12.1;A;1;A;0.39;A;0.32;A
01;B;74;A;42;A;23;A;6.5;A;6.9;A;46.6;A;11.2;A;1.06;B;0.5;A;0.51;A
01;B;63;A;34;A;27;B;10.3;B;8.3;A;48.7;A;11.5;A;1.19;B;0.46;A;0.52;A
01;B;69;A;49;A;27;B;9.4;A;12.2;A;48.6;A;14.6;A;0.89;A;0.32;A;0.46;A
01;B;64;A;52;B;15;A;8.7;A;11.8;A;48.3;A;16.6;A;0.97;A;0.35;A;0.68;A
01;A;55;A;35;A;17;A;6.7;A;12.4;A;52.5;A;17;A;0.75;A;0.19;A;0.44;A
01;A;44;A;31;A;14;A;8.6;A;5;A;54.1;A;12.4;A;0.62;A;0.24;A;0.38;A
01;D;91;C;66;B;7;A;8.7;A;7.9;A;47.1;A;10.5;A;1.55;D;0.74;A;0.96;A
01;B;80;B;55;B;32;B;9.8;A;7.6;A;51.9;A;13.3;A;1.08;B;0.27;A;0.8;A
01;A;49;A;29;A;22;A;7.4;A;3.8;A;51.3;A;9.7;A;0.88;A;0.14;A;0.6;A
01;C;90;B;63;B;22;A;8.1;A;3.7;A;52.3;A;7;A;1.35;C;0.75;A;0.7;A
01;A;54;A;25;A;16;A;7.7;A;7.1;A;53.6;A;12.4;A;0.65;A;0.27;A;0.22;A
01;B;54;A;30;A;27;B;9.9;A;17.3;A;50.5;A;21.9;B;0.86;A;0.17;A;0.38;A
01;A;56;A;41;A;25;A;7;A;6.7;A;50.6;A;10.8;A;0.82;A;0.3;A;0.44;A
01;A;56;A;24;A;16;A;7.9;A;8.7;A;46.9;A;11.2;A;0.48;A;0.25;A;0.1;A
01;A;58;A;36;A;14;A;7;A;8.5;A;50.6;A;10.6;A;0.67;A;0.32;A;0.37;A
01;B;66;A;34;A;29;B;11.4;B;5.8;A;49.4;A;11.1;A;0.87;A;0.25;A;0.23;A
01;B;70;A;39;A;31;B;8.8;A;14.7;A;46.9;A;18.6;A;0.87;A;0.26;A;0.45;A
01;C;44;A;12;A;24;A;12.2;C;7.1;A;51.6;A;10;A;0.62;A;0.25;A;0.19;A
01;B;48;A;12;A;18;A;8.8;A;15.7;A;47.3;A;21.2;B;0.82;A;0.19;A;0.3;A
01;B;72;A;53;B;4;A;9.9;A;3.7;A;50.6;A;10.7;A;0.96;A;0.21;A;0.63;A
01;B;35;A;15;A;13;A;10.2;B;8.2;A;50.9;A;14.1;A;0.56;A;0.23;A;0.03;A
01;A;63;A;41;A;16;A;6.6;A;4.6;A;54.1;A;8.6;A;0.76;A;0.21;A;0.45;A
01;B;44;A;12;A;35;B;9.2;A;4.2;A;49.3;A;7.1;A;0.79;A;0.25;A;0.24;A
01;C;101;C;77;C;46;C;10.9;B;13.3;A;52.2;A;17.3;A;1.48;C;0.27;A;1.07;A
01;A;55;A;28;A;21;A;8.4;A;5.1;A;47.3;A;12;A;0.89;A;0.36;A;0.5;A
01;A;49;A;32;A;23;A;8.3;A;7.4;A;49.5;A;10.9;A;0.65;A;0.23;A;0.43;A
01;B;86;B;49;A;18;A;10.4;B;8.8;A;49.4;A;15.4;A;1.14;B;0.34;A;0.6;A
01;C;45;A;14;A;15;A;12.9;C;3.3;A;49.7;A;7.4;A;0.74;A;0.31;A;0.33;A
01;B;58;A;40;A;21;A;11.2;B;6.9;A;49.6;A;10.8;A;1.05;B;0.2;A;0.65;A
01;A;41;A;16;A;19;A;7;A;6.7;A;52.1;A;14.8;A;0.64;A;0.23;A;0.17;A
01;C;64;A;13;A;39;C;9.2;A;7.8;A;52.7;A;11.8;A;0.73;A;0.27;A;0.24;A
01;C;83;B;67;B;6;A;9.3;A;8;A;51;A;11.9;A;1.24;C;0.21;A;0.91;A
01;C;60;A;22;A;30;B;13.2;C;7.9;A;52.1;A;15.1;A;0.68;A;0.25;A;0.15;A
01;C;77;B;48;A;16;A;13;C;6.3;A;49.6;A;8.9;A;1.2;B;0.62;A;0.55;A
01;A;36;A;17;A;24;A;4.7;A;7.1;A;56.5;A;11.6;A;0.49;A;0.25;A;0.06;A
01;A;47;A;22;A;21;A;9.9;A;11.8;A;51.1;A;15.5;A;0.67;A;0.25;A;0.33;A
01;B;39;A;18;A;10;A;10.8;B;6.9;A;52.2;A;13.8;A;0.72;A;0.21;A;0.18;A
01;A;40;A;19;A;4;A;8.4;A;7.5;A;49.9;A;9.4;A;0.61;A;0.22;A;0.33;A
01;C;87;B;55;B;12;A;10.3;B;18.1;A;50.1;A;20.9;B;1.47;C;0.72;A;0.92;A
01;C;85;B;45;A;46;C;9.3;A;8.1;A;47.3;A;9.5;A;1.1;B;0.28;A;0.48;A
01;B;61;A;33;A;16;A;11.6;B;9.8;A;47.3;A;12.8;A;0.93;A;0.3;A;0.45;A
01;A;33;A;13;A;8;A;8.6;A;12.5;A;50.9;A;15.4;A;0.87;A;0.36;A;0.22;A
01;C;68;A;40;A;19;A;10.5;B;7.9;A;51;A;13.4;A;1.29;C;0.49;A;0.79;A
01;B;78;B;52;B;32;B;9.3;A;9.8;A;52.5;A;11.5;A;0.98;A;0.33;A;0.56;A
01;B;46;A;27;A;23;A;11.2;B;11;A;53.7;A;13.8;A;0.63;A;0.32;A;0.31;A
01;B;65;A;38;A;22;A;10.9;B;16.9;A;50.6;A;17.8;A;1.09;B;0.26;A;0.56;A
01;A;48;A;29;A;14;A;8.6;A;6.7;A;50;A;9.9;A;0.58;A;0.24;A;0.25;A
01;B;32;A;9;A;19;A;11;B;11.8;A;50.4;A;15.5;A;0.47;A;0.17;A;0.01;A
01;B;65;A;28;A;10;A;10.4;B;4.6;A;50;A;9.9;A;0.83;A;0.61;A;0.24;A
01;A;58;A;32;A;13;A;8.1;A;11;A;52.7;A;14;A;0.9;A;0.42;A;0.43;A
01;A;34;A;4;A;13;A;7.5;A;4.2;A;51.6;A;8.3;A;0.5;A;0.35;A;0.11;A
01;A;67;A;44;A;10;A;6.4;A;14;A;48.4;A;19;A;0.97;A;0.37;A;0.61;A
01;B;83;B;43;A;34;B;10.9;B;7;A;50.2;A;11;A;1.11;B;0.52;A;0.55;A
01;A;35;A;14;A;5;A;6.1;A;8.2;A;55.2;A;17.7;A;0.88;A;0.27;A;0.18;A
01;B;68;A;37;A;30;B;8.5;A;4.3;A;51.3;A;10;A;0.8;A;0.29;A;0.41;A
01;A;41;A;23;A;5;A;5.8;A;7.9;A;52.4;A;12.1;A;0.62;A;0.22;A;0.31;A
01;C;81;B;67;B;17;A;9.6;A;7.3;A;51.2;A;11.3;A;1.37;C;0.27;A;0.97;A
01;A;35;A;21;A;6;A;4.5;A;6.4;A;50.9;A;12.4;A;0.42;A;0.22;A;0.15;A
01;B;69;A;55;B;13;A;8.7;A;3.8;A;53.7;A;10.4;A;0.9;A;0.18;A;0.7;A
01;A;40;A;12;A;19;A;7.7;A;5;A;48.8;A;11.1;A;0.55;A;0.17;A;0.11;A
01;A;34;A;21;A;11;A;5.7;A;5.9;A;40.4;A;9.4;A;0.68;A;0.32;A;0.44;A
01;B;55;A;18;A;34;B;7.3;A;11.5;A;45.8;A;16.7;A;0.86;A;0.2;A;0.41;A
01;A;55;A;34;A;10;A;9.5;A;4.9;A;51.8;A;9.2;A;0.81;A;0.42;A;0.46;A
01;B;63;A;43;A;7;A;9.1;A;7.3;A;48;A;14.7;A;1.03;B;0.3;A;0.53;A
01;A;52;A;29;A;25;A;6.9;A;6.2;A;52.1;A;10.4;A;0.7;A;0.18;A;0.3;A
01;A;42;A;26;A;9;A;9.9;A;7.1;A;45.6;A;11.4;A;0.75;A;0.29;A;0.38;A
01;A;31;A;16;A;7;A;7.1;A;9;A;45;A;12.5;A;0.51;A;0.29;A;0.14;A
